metro_name,c5_coi_met_lbl,lifex
"Chicago-Naperville-Elgin, IL-IN-WI",High,80.59999847412
"Chicago-Naperville-Elgin, IL-IN-WI",Very High,81.90000152588
"Cincinnati, OH-KY-IN",Very Low,72.40000152588
"Cincinnati, OH-KY-IN",Low,75.69999694824
"Cincinnati, OH-KY-IN",Moderate,78.00000000000
"Cincinnati, OH-KY-IN",High,79.90000152588
"Cincinnati, OH-KY-IN",Very High,81.59999847412
"Cleveland-Elyria, OH",Very Low,72.30000305176
"Cleveland-Elyria, OH",Low,76.00000000000
"Cleveland-Elyria, OH",Moderate,78.00000000000
"Cleveland-Elyria, OH",High,80.19999694824
"Cleveland-Elyria, OH",Very High,81.80000305176
"Colorado Springs, CO",Very Low,75.80000305176
"Colorado Springs, CO",Low,77.80000305176
"Colorado Springs, CO",Moderate,80.30000305176
"Colorado Springs, CO",High,81.80000305176
"Colorado Springs, CO",Very High,82.40000152588
"Columbia, SC",Very Low,74.40000152588
"Columbia, SC",Low,75.30000305176
"Columbia, SC",Moderate,78.50000000000
"Columbia, SC",High,78.69999694824
"Columbia, SC",Very High,80.69999694824
"Columbus, OH",Very Low,72.40000152588
"Columbus, OH",Low,76.30000305176
"Columbus, OH",Moderate,78.40000152588
"Columbus, OH",High,80.30000305176
"Columbus, OH",Very High,80.90000152588
"Dallas-Fort Worth-Arlington, TX",Very Low,75.50000000000
"Dallas-Fort Worth-Arlington, TX",Low,77.00000000000
"Dallas-Fort Worth-Arlington, TX",Moderate,78.19999694824
"Dallas-Fort Worth-Arlington, TX",High,79.50000000000
"Dallas-Fort Worth-Arlington, TX",Very High,80.90000152588
"Dayton-Kettering, OH",Very Low,70.80000305176
"Dayton-Kettering, OH",Low,75.00000000000
"Dayton-Kettering, OH",Moderate,77.90000152588
"Dayton-Kettering, OH",High,78.90000152588
"Dayton-Kettering, OH",Very High,80.90000152588
"Denver-Aurora-Lakewood, CO",Very Low,76.80000305176
"Denver-Aurora-Lakewood, CO",Low,78.40000152588
"Denver-Aurora-Lakewood, CO",Moderate,79.80000305176
"Denver-Aurora-Lakewood, CO",High,81.30000305176
"Denver-Aurora-Lakewood, CO",Very High,82.19999694824
"Des Moines-West Des Moines, IA",Very Low,75.69999694824
"Des Moines-West Des Moines, IA",Low,79.09999847412
"Des Moines-West Des Moines, IA",Moderate,80.50000000000
"Des Moines-West Des Moines, IA",High,80.80000305176
